worker_id,task_id,label,truth
0,0,2,4.2
0,1,2,4.0
0,2,2,3.8
0,3,4,4.1
0,4,5,4.4
0,5,5,4.5
0,6,3,4.0
0,7,4,4.2
0,8,4,4.3
0,9,5,4.1
0,10,4,4.3
0,11,3,4.1
0,12,3,4.4
0,13,4,4.7
0,14,4,4.7
0,15,3,4.3
0,16,4,4.3
1,0,2,4.2
1,1,2,4.0
1,17,2,4.2
1,18,2,3.8
1,2,5,3.8
1,19,3,4.0
1,20,2,4.4
1,3,4,4.1
1,5,2,4.5
1,21,2,4.0
1,22,3,4.0
1,23,2,4.4
1,24,4,4.6
1,9,5,4.1
1,10,5,4.3
1,25,5,4.8
1,14,5,4.7
1,26,1,4.0
1,27,4,3.2
1,28,5,4.5
1,29,4,4.8
1,30,4,4.6
1,31,4,4.3
1,32,5,4.4
1,33,2,4.3
2,0,5,4.2
2,1,4,4.0
2,34,5,4.7
2,35,5,3.6
2,18,3,3.8
2,2,5,3.8
2,19,4,4.0
2,20,5,4.4
2,36,4,4.3
2,3,5,4.1
2,37,5,4.2
2,38,4,4.1
2,39,5,3.8
2,40,5,4.3
2,4,5,4.4
2,5,5,4.5
2,21,5,4.0
2,41,4,4.0
2,42,5,4.5
2,43,4,3.8
2,44,5,4.4
2,45,3,3.6
2,46,5,4.1
2,47,5,4.7
2,48,5,4.5
2,24,5,4.6
2,7,5,4.2
2,8,5,4.3
2,49,4,4.5
2,50,5,4.2
2,51,4,4.2
2,9,5,4.1
2,10,5,4.3
2,13,5,4.7
2,25,5,4.8
2,52,5,4.4
2,14,4,4.7
2,53,5,4.4
2,54,4,4.5
2,55,5,4.7
2,56,5,4.2
2,57,5,4.1
2,58,4,4.6
2,26,5,4.0
2,59,4,4.4
2,60,4,4.3
2,61,5,4.2
2,62,5,4.8
2,63,4,4.0
2,64,4,4.3
2,65,5,3.9
2,66,5,4.4
2,15,5,4.3
2,67,4,4.4
2,68,5,3.8
2,69,4,4.4
2,70,5,4.5
2,71,5,4.0
2,72,5,4.2
2,73,4,4.2
2,74,5,4.2
2,75,5,4.4
2,76,4,4.3
2,77,5,4.6
2,78,5,4.4
3,0,5,4.2
3,35,2,3.6
3,2,4,3.8
3,19,3,4.0
3,4,5,4.4
3,21,4,4.0
3,79,3,4.4
3,44,4,4.4
3,50,4,4.2
3,51,2,4.2
3,9,5,4.1
3,28,4,4.5
3,80,3,3.9
3,81,5,4.5
3,82,5,4.2
3,83,5,4.4
3,74,4,4.2
3,77,4,4.6
4,0,5,4.2
4,1,5,4.0
4,17,3,4.2
4,35,3,3.6
4,2,5,3.8
4,19,4,4.0
4,20,2,4.4
4,84,5,4.6
4,36,2,4.3
4,3,4,4.1
4,5,5,4.5
4,85,4,4.7
4,42,4,4.5
4,47,4,4.7
4,24,4,4.6
4,14,4,4.7
4,62,5,4.8
4,28,3,4.5
4,30,5,4.6
4,83,5,4.4
4,74,5,4.2
4,75,3,4.4
4,86,3,4.0
4,76,5,4.3
4,77,2,4.6
4,78,5,4.4
5,0,2,4.2
5,87,4,3.9
5,44,5,4.4
5,46,5,4.1
5,48,5,4.5
5,9,4,4.1
5,81,5,4.5
5,88,5,4.3
5,68,4,3.8
5,89,3,4.0
5,71,4,4.0
5,90,4,3.9
5,91,5,4.4
5,72,3,4.2
5,92,3,4.1
5,93,5,4.1
5,73,5,4.2
5,94,4,4.4
6,0,4,4.2
6,1,4,4.0
6,35,4,3.6
6,2,4,3.8
6,19,4,4.0
6,20,3,4.4
6,36,4,4.3
6,3,4,4.1
6,38,3,4.1
6,4,4,4.4
6,5,4,4.5
6,21,3,4.0
6,79,4,4.4
6,42,4,4.5
6,23,4,4.4
6,24,4,4.6
6,49,4,4.5
6,9,4,4.1
6,10,4,4.3
6,95,3,3.9
6,11,4,4.1
6,14,4,4.7
6,55,4,4.7
6,26,4,4.0
6,62,4,4.8
6,28,5,4.5
6,30,5,4.6
6,31,4,4.3
6,83,4,4.4
