worker_id,task_id,label,truth
0,0,2,4.2
0,1,4,3.9
0,2,3,3.6
0,3,4,4.3
0,4,4,4.4
0,5,2,4.5
0,6,2,4.0
0,7,2,4.4
0,8,3,4.0
0,9,4,4.1
0,10,4,4.6
0,11,4,4.2
0,12,4,4.1
0,13,3,4.0
0,14,4,4.6
0,15,4,4.5
0,16,4,4.2
0,17,2,3.9
0,18,2,4.4
0,19,3,4.2
0,20,2,4.0
0,21,4,3.7
1,0,2,4.2
1,22,2,4.0
1,23,2,3.8
1,24,4,4.1
1,4,5,4.4
1,5,5,4.5
1,25,3,4.0
1,26,4,4.2
1,27,4,4.3
1,12,5,4.1
1,28,4,4.3
1,29,3,4.1
1,30,3,4.4
1,31,4,4.7
1,32,4,4.7
1,33,3,4.3
1,34,4,4.3
2,0,2,4.2
2,22,2,4.0
2,35,2,4.2
2,36,2,3.8
2,23,5,3.8
2,37,3,4.0
2,38,2,4.4
2,24,4,4.1
2,5,2,4.5
2,39,2,4.0
2,40,3,4.0
2,41,2,4.4
2,10,4,4.6
2,12,5,4.1
2,28,5,4.3
2,42,5,4.8
2,32,5,4.7
2,13,1,4.0
2,43,4,3.2
2,44,5,4.5
2,45,4,4.8
2,46,4,4.6
2,47,4,4.3
2,48,5,4.4
2,49,2,4.3
3,0,5,4.2
3,22,4,4.0
3,50,5,4.7
3,2,5,3.6
3,36,3,3.8
3,23,5,3.8
3,37,4,4.0
3,38,5,4.4
3,3,4,4.3
3,24,5,4.1
3,51,5,4.2
3,52,4,4.1
3,53,5,3.8
3,54,5,4.3
3,4,5,4.4
3,5,5,4.5
3,39,5,4.0
3,6,4,4.0
3,55,5,4.5
3,56,4,3.8
3,7,5,4.4
3,57,3,3.6
3,9,5,4.1
3,58,5,4.7
3,59,5,4.5
3,10,5,4.6
3,26,5,4.2
3,27,5,4.3
3,60,4,4.5
3,11,5,4.2
3,61,4,4.2
3,12,5,4.1
3,28,5,4.3
3,31,5,4.7
3,42,5,4.8
3,62,5,4.4
3,32,4,4.7
3,63,5,4.4
3,64,4,4.5
3,65,5,4.7
3,66,5,4.2
3,67,5,4.1
3,68,4,4.6
3,13,5,4.0
3,69,4,4.4
3,70,4,4.3
3,71,5,4.2
3,72,5,4.8
3,73,4,4.0
3,74,4,4.3
3,75,5,3.9
3,76,5,4.4
3,33,5,4.3
3,77,4,4.4
3,78,5,3.8
3,79,4,4.4
3,80,5,4.5
3,81,5,4.0
3,82,5,4.2
3,16,4,4.2
3,19,5,4.2
3,83,5,4.4
3,84,4,4.3
3,85,5,4.6
3,86,5,4.4
4,0,5,4.2
4,2,2,3.6
4,23,4,3.8
4,37,3,4.0
4,4,5,4.4
4,39,4,4.0
4,87,3,4.4
4,7,4,4.4
4,11,4,4.2
4,61,2,4.2
4,12,5,4.1
4,44,4,4.5
4,88,3,3.9
4,89,5,4.5
4,90,5,4.2
4,18,5,4.4
4,19,4,4.2
4,85,4,4.6
5,0,5,4.2
5,22,5,4.0
5,35,3,4.2
5,2,3,3.6
5,23,5,3.8
5,37,4,4.0
5,38,2,4.4
5,91,5,4.6
5,3,2,4.3
5,24,4,4.1
5,5,5,4.5
5,92,4,4.7
5,55,4,4.5
5,58,4,4.7
5,10,4,4.6
5,32,4,4.7
5,72,5,4.8
5,44,3,4.5
5,46,5,4.6
5,18,5,4.4
5,19,5,4.2
5,83,3,4.4
5,20,3,4.0
5,84,5,4.3
5,85,2,4.6
5,86,5,4.4
6,0,2,4.2
6,1,4,3.9
6,7,5,4.4
6,9,5,4.1
6,59,5,4.5
6,12,4,4.1
6,89,5,4.5
6,93,5,4.3
6,78,4,3.8
6,94,3,4.0
6,81,4,4.0
6,95,4,3.9
6,96,5,4.4
6,82,3,4.2
6,97,3,4.1
6,98,5,4.1
6,16,5,4.2
6,99,4,4.4
7,0,4,4.2
7,22,4,4.0
7,2,4,3.6
7,23,4,3.8
7,37,4,4.0
7,38,3,4.4
7,3,4,4.3
7,24,4,4.1
7,52,3,4.1
7,4,4,4.4
7,5,4,4.5
7,39,3,4.0
7,87,4,4.4
7,55,4,4.5
7,41,4,4.4
7,10,4,4.6
7,60,4,4.5
7,12,4,4.1
7,28,4,4.3
7,100,3,3.9
7,29,4,4.1
7,32,4,4.7
7,65,4,4.7
7,13,4,4.0
7,72,4,4.8
7,44,5,4.5
7,46,5,4.6
7,47,4,4.3
7,18,4,4.4
7,83,4,4.4
7,84,4,4.3
8,0,5,4.2
8,22,4,4.0
8,2,3,3.6
8,23,4,3.8
8,37,3,4.0
8,38,4,4.4
8,3,3,4.3
